vc	time
4.853133	0.351999
4.854602	0.352999
4.856056	0.353999
4.857495	0.354999
4.858921	0.355999
4.860332	0.356999
4.861728	0.357999
4.863111	0.358999
4.86448	0.359999
4.865835	0.360999
4.867177	0.361999
4.868505	0.362999
4.869821	0.363999
4.871122	0.364999
4.872411	0.365999
4.873687	0.366999
4.87495	0.367999
4.876201	0.368999
4.877439	0.369999
4.878664	0.370999
4.879878	0.371999
4.881079	0.372999
4.882268	0.373999
4.883445	0.374999
4.884611	0.375999
4.885765	0.376999
4.886907	0.377999
4.888038	0.378999
4.889158	0.379999
4.890266	0.380999
4.891364	0.381999
4.89245	0.382999
4.893525	0.383999
4.89459	0.384999
4.895644	0.385999
4.896688	0.386999
4.897721	0.387999
4.898744	0.388999
4.899756	0.389999
4.900759	0.390999
4.901751	0.391998
4.902733	0.392998
4.903706	0.393998
4.904669	0.394998
4.905622	0.395998
4.906566	0.396998
4.9075	0.397998
4.908425	0.398998
4.90934	0.399998
4.910247	0.400998
4.911144	0.401998
4.912033	0.402998
4.912912	0.403998
4.913783	0.404998
4.914645	0.405998
4.915499	0.406998
4.916344	0.407998
4.91718	0.408998
4.918008	0.409998
4.918828	0.410998
4.91964	0.411998
4.920443	0.412998
4.921238	0.413998
4.922026	0.414998
4.922806	0.415998
4.923578	0.416998
4.924342	0.417998
4.925099	0.418998
4.925848	0.419998
4.926589	0.420998
4.927324	0.421998
4.928051	0.422998
4.92877	0.423998
4.929482	0.424998
4.930188	0.425998
4.930886	0.426998
4.931577	0.427998
4.932261	0.428998
4.932939	0.429998
4.933609	0.430998
4.934273	0.431998
4.93493	0.432998
4.935581	0.433998
4.936225	0.434998
4.936862	0.435998
4.937494	0.436998
4.938119	0.437998
4.938738	0.438998
4.939351	0.439998
4.939957	0.440998
4.940557	0.441998
4.941152	0.442998
4.941741	0.443998
4.942323	0.444998
4.9429	0.445998
4.943471	0.446998
4.944036	0.447998
4.944596	0.448998
4.94515	0.449998
4.945699	0.450998
4.946242	0.451998
4.946779	0.452998
4.947311	0.453998
4.947838	0.454998
4.94836	0.455998
4.948876	0.456998
4.949388	0.457998
4.949893	0.458998
4.950395	0.459998
4.950891	0.460998
4.951382	0.461998
4.951868	0.462998
4.952349	0.463998
4.952826	0.464998
4.953297	0.465998
4.953764	0.466998
4.954226	0.467998
4.954684	0.468998
4.955137	0.469997
4.955586	0.470997
4.95603	0.471997
4.95647	0.472997
4.956905	0.473997
4.957336	0.474997
4.957763	0.475997
4.958185	0.476997
4.958603	0.477997
4.959017	0.478997
4.959427	0.479997
4.959833	0.480997
4.960234	0.481997
4.960632	0.482997
4.961026	0.483997
4.961415	0.484997
4.961801	0.485997
4.962183	0.486997
4.962561	0.487997
4.962935	0.488997
4.963306	0.489997
4.963673	0.490997
4.964036	0.491997
4.964396	0.492997
4.964752	0.493997
4.965105	0.494997
4.965454	0.495997
4.965799	0.496997
4.966141	0.497997
4.966479	0.498997
4.966815	0.499997
4.967146	0.500997
