t(s) , h(t)(dm)
26.500000 , 0.092844
26.600000 , 0.092998
26.700000 , 0.093151
26.800000 , 0.093303
26.900000 , 0.093455
27.000000 , 0.093606
27.100000 , 0.093757
27.200000 , 0.093907
27.300000 , 0.094056
27.400000 , 0.094204
27.500000 , 0.094352
27.600000 , 0.094499
27.700000 , 0.094645
27.800000 , 0.094791
27.900000 , 0.094936
28.000000 , 0.095080
28.100000 , 0.095224
28.200000 , 0.095367
28.300000 , 0.095510
28.400000 , 0.095652
28.500000 , 0.095793
28.600000 , 0.095933
28.700000 , 0.096073
28.800000 , 0.096213
28.900000 , 0.096351
29.000000 , 0.096489
29.100000 , 0.096627
29.200000 , 0.096764
29.300000 , 0.096900
29.400000 , 0.097035
29.500000 , 0.097170
29.600000 , 0.097305
29.700000 , 0.097439
29.800000 , 0.097572
29.900000 , 0.097705
30.000000 , 0.097837
30.100000 , 0.097968
30.200000 , 0.098099
30.300000 , 0.098229
30.400000 , 0.098359
30.500000 , 0.098488
30.600000 , 0.098617
30.700000 , 0.098745
30.800000 , 0.098872
30.900000 , 0.098999
31.000000 , 0.099125
31.100000 , 0.099251
31.200000 , 0.099376
31.300000 , 0.099501
31.400000 , 0.099625
31.500000 , 0.099748
31.600000 , 0.099871
31.700000 , 0.099994
31.800000 , 0.100116
31.900000 , 0.100237
32.000000 , 0.100358
32.100000 , 0.100478
32.200000 , 0.100598
32.300000 , 0.100717
32.400000 , 0.100836
32.500000 , 0.100954
32.600000 , 0.101072
32.700000 , 0.101189
32.800000 , 0.101306
32.900000 , 0.101422
33.000000 , 0.101538
33.100000 , 0.101653
33.200000 , 0.101768
33.300000 , 0.101882
33.400000 , 0.101996
33.500000 , 0.102109
33.600000 , 0.102221
33.700000 , 0.102334
33.800000 , 0.102445
33.900000 , 0.102557
34.000000 , 0.102667
34.100000 , 0.102778
34.200000 , 0.102887
34.300000 , 0.102997
34.400000 , 0.103106
34.500000 , 0.103214
34.600000 , 0.103322
34.700000 , 0.103429
34.800000 , 0.103536
34.900000 , 0.103643
35.000000 , 0.103749
35.100000 , 0.103854
35.200000 , 0.103959
35.300000 , 0.104064
35.400000 , 0.104168
35.500000 , 0.104272
35.600000 , 0.104376
35.700000 , 0.104478
35.800000 , 0.104581
35.900000 , 0.104683
36.000000 , 0.104784
36.100000 , 0.104886
36.200000 , 0.104986
36.300000 , 0.105087
36.400000 , 0.105186
36.500000 , 0.105286
36.600000 , 0.105385
36.700000 , 0.105483
36.800000 , 0.105582
36.900000 , 0.105679
37.000000 , 0.105777
37.100000 , 0.105873
37.200000 , 0.105970
37.300000 , 0.106066
37.400000 , 0.106162
37.500000 , 0.106257
37.600000 , 0.106352
37.700000 , 0.106446
37.800000 , 0.106540
37.900000 , 0.106634
38.000000 , 0.106727
38.100000 , 0.106820
38.200000 , 0.106912
38.300000 , 0.107004
38.400000 , 0.107096
38.500000 , 0.107187
38.600000 , 0.107278
38.700000 , 0.107369
38.800000 , 0.107459
38.900000 , 0.107549
39.000000 , 0.107638
39.100000 , 0.107727
39.200000 , 0.107816
39.300000 , 0.107904
39.400000 , 0.107992
39.500000 , 0.108079
39.600000 , 0.108166
39.700000 , 0.108253
39.800000 , 0.108339
39.900000 , 0.108425
40.000000 , 0.108511
40.100000 , 0.108596
40.200000 , 0.108681
40.300000 , 0.108766
40.400000 , 0.108850
40.500000 , 0.108934
40.600000 , 0.109017
40.700000 , 0.109101
40.800000 , 0.109183
40.900000 , 0.109266
41.000000 , 0.109348
41.100000 , 0.109430
41.200000 , 0.109511
41.300000 , 0.109592
41.400000 , 0.109673
41.500000 , 0.109753
41.600000 , 0.109834
41.700000 , 0.109913
41.800000 , 0.109993
41.900000 , 0.110072
42.000000 , 0.110150
42.100000 , 0.110229
42.200000 , 0.110307
42.300000 , 0.110385
42.400000 , 0.110462
42.500000 , 0.110539
42.600000 , 0.110616
42.700000 , 0.110693
42.800000 , 0.110769
42.900000 , 0.110844
43.000000 , 0.110920
43.100000 , 0.110995
43.200000 , 0.111070
43.300000 , 0.111145
43.400000 , 0.111219
43.500000 , 0.111293
43.600000 , 0.111367
43.700000 , 0.111440
43.800000 , 0.111513
43.900000 , 0.111586
44.000000 , 0.111658
44.100000 , 0.111730
44.200000 , 0.111802
44.300000 , 0.111874
44.400000 , 0.111945
44.500000 , 0.112016
44.600000 , 0.112086
44.700000 , 0.112157
44.800000 , 0.112227
44.900000 , 0.112296
45.000000 , 0.112366
45.100000 , 0.112435
45.200000 , 0.112504
45.300000 , 0.112573
45.400000 , 0.112641
45.500000 , 0.112709
45.600000 , 0.112777
45.700000 , 0.112844
45.800000 , 0.112911
45.900000 , 0.112978
46.000000 , 0.113045
46.100000 , 0.113111
46.200000 , 0.113178
46.300000 , 0.113243
46.400000 , 0.113309
46.500000 , 0.113374
46.600000 , 0.113439
46.700000 , 0.113504
46.800000 , 0.113569
46.900000 , 0.113633
47.000000 , 0.113697
47.100000 , 0.113760
47.200000 , 0.113824
47.300000 , 0.113887
47.400000 , 0.113950
47.500000 , 0.114013
47.600000 , 0.114075
47.700000 , 0.114137
47.800000 , 0.114199
47.900000 , 0.114261
48.000000 , 0.114322
48.100000 , 0.114383
48.200000 , 0.114444
48.300000 , 0.114505
48.400000 , 0.114565
48.500000 , 0.114625
48.600000 , 0.114685
48.700000 , 0.114745
48.800000 , 0.114804
48.900000 , 0.114863
49.000000 , 0.114922
49.100000 , 0.114981
49.200000 , 0.115039
49.300000 , 0.115097
49.400000 , 0.115155
49.500000 , 0.115213
49.600000 , 0.115270
49.700000 , 0.115328
49.800000 , 0.115385
49.900000 , 0.115441
50.000000 , 0.115498
50.100000 , 0.115554
50.200000 , 0.115610
50.300000 , 0.115666
50.400000 , 0.115722
50.500000 , 0.115777
50.600000 , 0.115832
50.700000 , 0.115887
50.800000 , 0.115942
50.900000 , 0.115996
51.000000 , 0.116051
51.100000 , 0.116105
51.200000 , 0.116159
51.300000 , 0.116212
51.400000 , 0.116266
51.500000 , 0.116319
51.600000 , 0.116372
51.700000 , 0.116424
51.800000 , 0.116477
51.900000 , 0.116529
52.000000 , 0.116581
52.100000 , 0.116633
52.200000 , 0.116685
52.300000 , 0.116736
52.400000 , 0.116788
52.500000 , 0.116839
52.600000 , 0.116890
52.700000 , 0.116940
52.800000 , 0.116991
52.900000 , 0.117041
53.000000 , 0.117091
53.100000 , 0.117141
53.200000 , 0.117190
53.300000 , 0.117240
53.400000 , 0.117289
53.500000 , 0.117338
53.600000 , 0.117387
53.700000 , 0.117435
53.800000 , 0.117484
53.900000 , 0.117532
54.000000 , 0.117580
54.100000 , 0.117628
54.200000 , 0.117676
54.300000 , 0.117723
54.400000 , 0.117770
54.500000 , 0.117817
54.600000 , 0.117864
54.700000 , 0.117911
54.800000 , 0.117957
54.900000 , 0.118004
55.000000 , 0.118050
55.100000 , 0.118096
55.200000 , 0.118142
55.300000 , 0.118187
55.400000 , 0.118232
55.500000 , 0.118278
55.600000 , 0.118323
55.700000 , 0.118368
55.800000 , 0.118412
55.900000 , 0.118457
56.000000 , 0.118501
56.100000 , 0.118545
56.200000 , 0.118589
56.300000 , 0.118633
56.400000 , 0.118676
56.500000 , 0.118720
56.600000 , 0.118763
56.700000 , 0.118806
56.800000 , 0.118849
56.900000 , 0.118892
57.000000 , 0.118934
57.100000 , 0.118977
57.200000 , 0.119019
57.300000 , 0.119061
57.400000 , 0.119103
57.500000 , 0.119144
57.600000 , 0.119186
57.700000 , 0.119227
57.800000 , 0.119268
57.900000 , 0.119309
58.000000 , 0.119350
58.100000 , 0.119391
58.200000 , 0.119431
58.300000 , 0.119472
58.400000 , 0.119512
58.500000 , 0.119552
58.600000 , 0.119592
58.700000 , 0.119632
58.800000 , 0.119671
58.900000 , 0.119711
59.000000 , 0.119750
59.100000 , 0.119789
59.200000 , 0.119828
59.300000 , 0.119867
59.400000 , 0.119905
59.500000 , 0.119944
59.600000 , 0.119982
59.700000 , 0.120020
59.800000 , 0.120058
59.900000 , 0.120096
60.000000 , 0.120134
60.100000 , 0.120171
60.200000 , 0.120209
60.300000 , 0.120246
60.400000 , 0.120283
60.500000 , 0.120320
60.600000 , 0.120357
60.700000 , 0.120394
60.800000 , 0.120430
60.900000 , 0.120466
61.000000 , 0.120503
61.100000 , 0.120539
61.200000 , 0.120575
61.300000 , 0.120610
61.400000 , 0.120646
61.500000 , 0.120682
61.600000 , 0.120717
61.700000 , 0.120752
61.800000 , 0.120787
61.900000 , 0.120822
62.000000 , 0.120857
62.100000 , 0.120892
62.200000 , 0.120926
62.300000 , 0.120961
62.400000 , 0.120995
62.500000 , 0.121029
62.600000 , 0.121063
62.700000 , 0.121097
62.800000 , 0.121130
62.900000 , 0.121164
63.000000 , 0.121197
63.100000 , 0.121231
63.200000 , 0.121264
63.300000 , 0.121297
63.400000 , 0.121330
63.500000 , 0.121363
63.600000 , 0.121395
63.700000 , 0.121428
63.800000 , 0.121460
63.900000 , 0.121492
64.000000 , 0.121525
64.100000 , 0.121557
64.200000 , 0.121588
64.300000 , 0.121620
64.400000 , 0.121652
64.500000 , 0.121683
64.600000 , 0.121715
64.700000 , 0.121746
64.800000 , 0.121777
64.900000 , 0.121808
65.000000 , 0.121839
65.100000 , 0.121870
65.200000 , 0.121900
65.300000 , 0.121931
65.400000 , 0.121961
65.500000 , 0.121991
65.600000 , 0.122021
65.700000 , 0.122051
65.800000 , 0.122081
65.900000 , 0.122111
66.000000 , 0.122141
66.100000 , 0.122170
66.200000 , 0.122200
66.300000 , 0.122229
66.400000 , 0.122258
66.500000 , 0.122287
66.600000 , 0.122316
66.700000 , 0.122345
66.800000 , 0.122374
66.900000 , 0.122403
67.000000 , 0.122431
67.100000 , 0.122459
67.200000 , 0.122488
67.300000 , 0.122516
67.400000 , 0.122544
67.500000 , 0.122572
67.600000 , 0.122600
67.700000 , 0.122627
67.800000 , 0.122655
67.900000 , 0.122683
68.000000 , 0.122710
68.100000 , 0.122737
68.200000 , 0.122764
68.300000 , 0.122792
68.400000 , 0.122818
68.500000 , 0.122845
68.600000 , 0.122872
68.700000 , 0.122899
68.800000 , 0.122925
68.900000 , 0.122952
69.000000 , 0.122978
69.100000 , 0.123004
69.200000 , 0.123030
69.300000 , 0.123056
69.400000 , 0.123082
69.500000 , 0.123108
69.600000 , 0.123134
69.700000 , 0.123159
69.800000 , 0.123185
69.900000 , 0.123210
70.000000 , 0.123236
70.100000 , 0.123261
70.200000 , 0.123286
70.300000 , 0.123311
70.400000 , 0.123336
70.500000 , 0.123361
70.600000 , 0.123385
70.700000 , 0.123410
70.800000 , 0.123435
70.900000 , 0.123459
71.000000 , 0.123483
71.100000 , 0.123508
71.200000 , 0.123532
71.300000 , 0.123556
71.400000 , 0.123580
71.500000 , 0.123603
71.600000 , 0.123627
71.700000 , 0.123651
71.800000 , 0.123674
71.900000 , 0.123698
72.000000 , 0.123721
72.100000 , 0.123745
72.200000 , 0.123768
72.300000 , 0.123791
72.400000 , 0.123814
72.500000 , 0.123837
72.600000 , 0.123860
72.700000 , 0.123882
72.800000 , 0.123905
72.900000 , 0.123928
73.000000 , 0.123950
73.100000 , 0.123972
73.200000 , 0.123995
73.300000 , 0.124017
73.400000 , 0.124039
73.500000 , 0.124061
73.600000 , 0.124083
73.700000 , 0.124105
73.800000 , 0.124127
73.900000 , 0.124148
74.000000 , 0.124170
74.100000 , 0.124191
74.200000 , 0.124213
74.300000 , 0.124234
74.400000 , 0.124256
74.500000 , 0.124277
74.600000 , 0.124298
74.700000 , 0.124319
74.800000 , 0.124340
74.900000 , 0.124361
75.000000 , 0.124381
75.100000 , 0.124402
75.200000 , 0.124423
75.300000 , 0.124443
75.400000 , 0.124464
75.500000 , 0.124484
75.600000 , 0.124504
75.700000 , 0.124524
75.800000 , 0.124545
75.900000 , 0.124565
76.000000 , 0.124585
76.100000 , 0.124604
76.200000 , 0.124624
76.300000 , 0.124644
76.400000 , 0.124664
76.500000 , 0.124683
76.600000 , 0.124703
76.700000 , 0.124722
76.800000 , 0.124741
76.900000 , 0.124761
77.000000 , 0.124780
77.100000 , 0.124799
77.200000 , 0.124818
77.300000 , 0.124837
77.400000 , 0.124856
77.500000 , 0.124875
77.600000 , 0.124894
77.700000 , 0.124912
77.800000 , 0.124931
77.900000 , 0.124949
78.000000 , 0.124968
78.100000 , 0.124986
78.200000 , 0.125004
78.300000 , 0.125023
78.400000 , 0.125041
78.500000 , 0.125059
78.600000 , 0.125077
78.700000 , 0.125095
78.800000 , 0.125113
78.900000 , 0.125131
79.000000 , 0.125148
79.100000 , 0.125166
79.200000 , 0.125184
79.300000 , 0.125201
79.400000 , 0.125219
79.500000 , 0.125236
79.600000 , 0.125253
79.700000 , 0.125271
79.800000 , 0.125288
79.900000 , 0.125305
80.000000 , 0.125322
80.100000 , 0.125339
80.200000 , 0.125356
80.300000 , 0.125373
80.400000 , 0.125390
80.500000 , 0.125406
80.600000 , 0.125423
80.700000 , 0.125439
80.800000 , 0.125456
80.900000 , 0.125472
81.000000 , 0.125489
81.100000 , 0.125505
81.200000 , 0.125521
81.300000 , 0.125538
81.400000 , 0.125554
81.500000 , 0.125570
81.600000 , 0.125586
81.700000 , 0.125602
81.800000 , 0.125618
81.900000 , 0.125634
82.000000 , 0.125649
82.100000 , 0.125665
82.200000 , 0.125681
82.300000 , 0.125696
82.400000 , 0.125712
82.500000 , 0.125727
82.600000 , 0.125743
82.700000 , 0.125758
82.800000 , 0.125773
82.900000 , 0.125789
83.000000 , 0.125804
83.100000 , 0.125819
83.200000 , 0.125834
83.300000 , 0.125849
83.400000 , 0.125864
83.500000 , 0.125879
83.600000 , 0.125893
83.700000 , 0.125908
83.800000 , 0.125923
83.900000 , 0.125937
84.000000 , 0.125952
84.100000 , 0.125967
84.200000 , 0.125981
84.300000 , 0.125995
84.400000 , 0.126010
84.500000 , 0.126024
84.600000 , 0.126038
84.700000 , 0.126053
84.800000 , 0.126067
84.900000 , 0.126081
85.000000 , 0.126095
85.100000 , 0.126109
85.200000 , 0.126123
85.300000 , 0.126136
85.400000 , 0.126150
85.500000 , 0.126164
85.600000 , 0.126178
85.700000 , 0.126191
85.800000 , 0.126205
85.900000 , 0.126218
86.000000 , 0.126232
86.100000 , 0.126245
86.200000 , 0.126259
86.300000 , 0.126272
86.400000 , 0.126285
86.500000 , 0.126299
86.600000 , 0.126312
86.700000 , 0.126325
86.800000 , 0.126338
86.900000 , 0.126351
87.000000 , 0.126364
87.100000 , 0.126377
87.200000 , 0.126390
87.300000 , 0.126402
87.400000 , 0.126415
87.500000 , 0.126428
87.600000 , 0.126441
87.700000 , 0.126453
87.800000 , 0.126466
87.900000 , 0.126478
88.000000 , 0.126491
88.100000 , 0.126503
88.200000 , 0.126516
88.300000 , 0.126528
88.400000 , 0.126540
88.500000 , 0.126552
88.600000 , 0.126565
88.700000 , 0.126577
88.800000 , 0.126589
88.900000 , 0.126601
89.000000 , 0.126613
89.100000 , 0.126625
89.200000 , 0.126637
89.300000 , 0.126648
89.400000 , 0.126660
89.500000 , 0.126672
89.600000 , 0.126684
89.700000 , 0.126695
89.800000 , 0.126707
89.900000 , 0.126719
90.000000 , 0.126730
90.100000 , 0.126742
90.200000 , 0.126753
90.300000 , 0.126764
90.400000 , 0.126776
90.500000 , 0.126787
90.600000 , 0.126798
90.700000 , 0.126809
90.800000 , 0.126821
90.900000 , 0.126832
91.000000 , 0.126843
91.100000 , 0.126854
91.200000 , 0.126865
91.300000 , 0.126876
91.400000 , 0.126887
91.500000 , 0.126898
91.600000 , 0.126908
91.700000 , 0.126919
91.800000 , 0.126930
91.900000 , 0.126941
92.000000 , 0.126951
92.100000 , 0.126962
92.200000 , 0.126973
92.300000 , 0.126983
92.400000 , 0.126994
92.500000 , 0.127004
92.600000 , 0.127014
92.700000 , 0.127025
92.800000 , 0.127035
92.900000 , 0.127045
93.000000 , 0.127056
93.100000 , 0.127066
93.200000 , 0.127076
93.300000 , 0.127086
93.400000 , 0.127096
93.500000 , 0.127106
93.600000 , 0.127116
93.700000 , 0.127126
93.800000 , 0.127136
93.900000 , 0.127146
94.000000 , 0.127156
94.100000 , 0.127166
94.200000 , 0.127176
94.300000 , 0.127185
94.400000 , 0.127195
94.500000 , 0.127205
94.600000 , 0.127214
94.700000 , 0.127224
94.800000 , 0.127234
94.900000 , 0.127243
95.000000 , 0.127253
95.100000 , 0.127262
95.200000 , 0.127271
95.300000 , 0.127281
95.400000 , 0.127290
95.500000 , 0.127299
95.600000 , 0.127309
95.700000 , 0.127318
95.800000 , 0.127327
95.900000 , 0.127336
96.000000 , 0.127345
96.100000 , 0.127354
96.200000 , 0.127364
96.300000 , 0.127373
96.400000 , 0.127382
96.500000 , 0.127390
96.600000 , 0.127399
96.700000 , 0.127408
96.800000 , 0.127417
96.900000 , 0.127426
97.000000 , 0.127435
97.100000 , 0.127443
97.200000 , 0.127452
97.300000 , 0.127461
97.400000 , 0.127469
97.500000 , 0.127478
97.600000 , 0.127487
97.700000 , 0.127495
97.800000 , 0.127504
97.900000 , 0.127512
98.000000 , 0.127521
98.100000 , 0.127529
