X,Vc
36.4,4.866344
36.5,4.867667
36.6,4.868977
36.7,4.870274
36.8,4.871559
36.9,4.87283
37,4.87409
37.1,4.875336
37.2,4.876571
37.3,4.877793
37.4,4.879003
37.5,4.880201
37.6,4.881387
37.7,4.882561
37.8,4.883724
37.9,4.884875
38,4.886015
38.1,4.887143
38.2,4.888261
38.3,4.889367
38.4,4.890463
38.5,4.891547
38.6,4.892621
38.7,4.893684
38.8,4.894737
38.9,4.895779
39,4.896811
39.1,4.897832
39.2,4.898844
39.3,4.899846
39.4,4.900837
39.5,4.901819
39.6,4.902791
39.7,4.903754
39.8,4.904707
39.9,4.90565
40,4.906584
40.1,4.907509
40.2,4.908425
40.3,4.909332
40.4,4.910229
40.5,4.911118
40.6,4.911998
40.7,4.912869
40.8,4.913732
40.9,4.914586
41,4.915432
41.1,4.916269
41.2,4.917098
41.3,4.917919
41.4,4.918732
41.5,4.919536
41.6,4.920333
41.7,4.921122
41.8,4.921903
41.9,4.922676
42,4.923442
42.1,4.9242
42.2,4.92495
42.3,4.925693
42.4,4.926429
42.5,4.927157
42.6,4.927878
42.7,4.928593
42.8,4.9293
42.9,4.93
43,4.930693
43.1,4.931379
43.2,4.932058
43.3,4.932731
43.4,4.933397
43.5,4.934056
43.6,4.934709
43.7,4.935356
43.8,4.935996
43.9,4.93663
44,4.937257
44.1,4.937878
44.2,4.938493
44.3,4.939102
44.4,4.939705
44.5,4.940302
44.6,4.940893
44.7,4.941478
44.8,4.942058
44.9,4.942632
45,4.9432
45.1,4.943762
45.2,4.944319
45.3,4.94487
45.4,4.945416
45.5,4.945956
45.6,4.946491
45.7,4.947021
45.8,4.947546
45.9,4.948065
46,4.948579
46.1,4.949088
46.2,4.949592
46.3,4.950092
46.4,4.950586
46.5,4.951075
46.6,4.951559
46.7,4.952039
46.8,4.952514
46.9,4.952984
47,4.95345
47.1,4.95391
47.2,4.954367
47.3,4.954819
47.4,4.955266
47.5,4.955709
47.6,4.956147
47.7,4.956582
47.8,4.957011
47.9,4.957437
48,4.957858
48.1,4.958276
48.2,4.958689
48.3,4.959098
48.4,4.959503
48.5,4.959904
48.6,4.960301
48.7,4.960694
48.8,4.961083
48.9,4.961468
49,4.96185
49.1,4.962228
49.2,4.962602
49.3,4.962972
49.4,4.963338
49.5,4.963701
49.6,4.964061
49.7,4.964417
49.8,4.964769
49.9,4.965118
50,4.965463
50.1,4.965805
50.2,4.966144
50.3,4.966479
50.4,4.966811
50.5,4.967139
50.6,4.967465
50.7,4.967787
50.8,4.968106
50.9,4.968422
51,4.968734
51.1,4.969044
51.2,4.96935
51.3,4.969654
51.4,4.969954
51.5,4.970252
51.6,4.970546
51.7,4.970838
51.8,4.971127
51.9,4.971412
52,4.971695
52.1,4.971976
52.2,4.972253
52.3,4.972528
52.4,4.9728
52.5,4.973069
52.6,4.973336
52.7,4.9736
52.8,4.973861
52.9,4.97412
53,4.974376
53.1,4.97463
53.2,4.974881
53.3,4.97513
53.4,4.975376
53.5,4.97562
53.6,4.975861
53.7,4.9761
53.8,4.976337
53.9,4.976571
54,4.976803
54.1,4.977033
54.2,4.97726
54.3,4.977485
54.4,4.977708
54.5,4.977929
54.6,4.978148
