waktu (s), Tinggi (m)
32.200081,0.001691
32.300079,0.001691
32.400078,0.001691
32.500076,0.001691
32.600075,0.001691
32.700073,0.001691
32.800072,0.001691
32.90007,0.001691
33.000069,0.001691
33.100067,0.001691
33.200066,0.001691
33.300064,0.001691
33.400063,0.001691
33.500061,0.001691
33.60006,0.001691
33.700058,0.001691
33.800056,0.001691
33.900055,0.001691
34.000053,0.001691
34.100052,0.001691
34.20005,0.001691
34.300049,0.001691
34.400047,0.001691
34.500046,0.001691
34.600044,0.001691
34.700043,0.001691
34.800041,0.001691
34.90004,0.001691
35.000038,0.001691
35.100037,0.001691
35.200035,0.001691
35.300034,0.001691
35.400032,0.001691
35.500031,0.001691
35.600029,0.001691
35.700027,0.001691
35.800026,0.001691
35.900024,0.001691
36.000023,0.001691
36.100021,0.001691
36.20002,0.001691
36.300018,0.001691
36.400017,0.001691
36.500015,0.001691
36.600014,0.001691
36.700012,0.001691
36.800011,0.001691
36.900009,0.001691
37.000008,0.001691
37.100006,0.001691
37.200005,0.001691
37.300003,0.001691
37.400002,0.001691
37.5,0.001691
37.599998,0.001691
37.699997,0.001691
37.799995,0.001691
37.899994,0.001691
37.999992,0.001691
38.099991,0.001691
38.199989,0.001691
38.299988,0.001691
38.399986,0.001691
38.499985,0.001691
38.599983,0.001691
38.699982,0.001691
38.79998,0.001691
38.899979,0.001691
38.999977,0.001691
39.099976,0.001691
39.199974,0.001691
39.299973,0.001691
39.399971,0.001691
39.499969,0.001691
39.599968,0.001691
39.699966,0.001691
39.799965,0.001691
39.899963,0.001691
39.999962,0.001691
40.09996,0.001691
40.199959,0.001691
40.299957,0.001691
40.399956,0.001691
40.499954,0.001691
40.599953,0.001691
40.699951,0.001691
40.79995,0.001691
40.899948,0.001691
40.999947,0.001691
41.099945,0.001691
41.199944,0.001691
41.299942,0.001691
41.39994,0.001691
41.499939,0.001691
41.599937,0.001691
41.699936,0.001691
41.799934,0.001691
41.899933,0.001691
41.999931,0.001691
42.09993,0.001691
42.199928,0.001691
42.299927,0.001691
42.399925,0.001691
42.499924,0.001691
42.599922,0.001691
42.699921,0.001691
42.799919,0.001691
42.899918,0.001691
